frame,trans_error,rot_error_deg
0,nan,nan
1,0.00625531,0
2,0.0596942,0
3,0.0114766,0
4,0.130773,0
5,0.00336199,0
6,0.064285,0
7,0.0172321,0
8,0.0427025,0
9,0.109021,0
10,0.0744556,0
11,0.0894874,0
12,0.147471,0
13,0.0099915,0
14,0.0445158,0
15,0.105979,0
16,0,0
17,0.00687059,0
18,0.22799,0
19,0.022209,0
20,0.0263463,0
21,0.117848,0
22,0.00598415,0
23,0.106474,0
24,0.0465501,0
25,0.0154975,0
26,0.1055,0
27,0.0620724,0
28,0.0940759,0
29,0,0
30,0.0368358,0
31,0.0125071,0
32,0.0613147,0
33,0.038141,0
34,0.043655,0
35,0.02221,0
36,0.0185078,0
37,0,0
38,0.0507971,0
39,0,0
40,0.00232336,0
41,0.0659397,0
42,0,0
43,0.0207873,0
44,0,0
45,0.0549346,0
46,0.116353,0
47,0.0252564,0
48,0.0241359,0
49,0.0342474,0
50,0.195453,0
51,0.0440194,0
52,0.0640966,0
53,0.0414897,0
54,0.0348025,0
55,0.0518868,0
56,0.216337,0
57,0.533604,0
58,0.182153,1.70755e-06
59,0.603035,0
60,0,0
61,0.462764,0
62,0.674995,0
63,0,0
64,1.09551,0
65,0.120049,0
66,0.0964714,1.70755e-06
67,0.803703,1.70755e-06
68,0.777044,1.70755e-06
69,0,0
70,0.915422,0
71,0.18657,0
72,0.314649,0
73,0.668983,0
74,0.00839533,0
75,0.0178088,0
76,0.20995,1.70755e-06
77,0.0694775,0
78,0.835361,0
79,0.378829,0
80,0.125817,0
81,0.0384889,0
82,0.11737,2.41484e-06
83,0.431328,0
84,0,0
85,0.714172,0
86,0.58796,0
87,0.571647,0
88,0.0287669,0
89,0.313718,1.70755e-06
90,0.159962,0
91,0.0311243,0
92,0.645098,0
93,0.395633,0
94,0.110704,0
95,0.377784,1.70755e-06
96,0,0
97,0.577162,1.70755e-06
98,0.0719988,0
99,0.0740565,0
100,0.626671,1.70755e-06
101,0.627986,0
102,0.113334,0
103,0.529018,0
104,0.231758,2.41484e-06
105,0.367458,0
106,0,0
107,0.348319,0
108,0.145608,2.41484e-06
109,0.185894,0
110,0.019354,0
111,0.129698,0
112,0.45609,0
113,0.865134,1.70755e-06
114,0.799279,1.70755e-06
115,0.507229,0
116,0.267636,0
117,0.0879201,0
118,0.237787,0
119,0.148469,0
120,0.0105334,0
121,0.0418541,0
122,0.113841,0
123,0.136763,0
124,0.0889498,1.70755e-06
125,0.0916909,0
126,0.130623,0
127,0.56549,0
128,0.722056,1.70755e-06
129,0.450039,0
130,0.0989739,0
131,0.199015,0
132,0.112944,1.70755e-06
133,0.650886,1.70755e-06
134,0,0
135,0.832504,0
136,0.901691,1.70755e-06
137,0.178869,0
138,0.15145,0
139,0.509579,0
140,0.564089,1.70755e-06
141,0.486247,0
142,0.0511605,0
143,0.283355,0
144,0.625992,0
145,0.925269,0
146,0.772266,1.70755e-06
147,0.568138,0
148,0.366779,0
149,0.22348,2.41484e-06
150,0.267136,0
151,0.453007,0
152,0,0
153,0.685468,0
154,0.124271,0
155,0.079471,0
156,0.0282924,0
157,0.182632,0
158,0.517794,0
159,0.583177,0
160,0.214546,0
161,0.0206385,1.70755e-06
162,0.0492332,1.70755e-06
163,0.0654026,0
164,1.89744,0
165,0.0875134,1.70755e-06
166,0.0785238,0
167,0,0
168,0.108438,0
169,0.0490801,1.70755e-06
170,0,0
171,0.127458,0
172,0.217449,0
173,1.95559,0
174,0.24809,1.70755e-06
175,0.340867,0
176,0,0
177,0.638527,1.70755e-06
178,0.146418,0
179,0.509494,1.70755e-06
180,0.550255,2.41484e-06
181,0.295087,0
182,1.00934,0
183,1.47973,0
184,0.656466,0
185,0.912031,0
186,1.02521,0
187,1.04784,0
188,0.0424888,1.70755e-06
189,0.349334,0
190,0.017978,1.70755e-06
191,0.269234,0
192,0.417846,0
193,0.902906,1.70755e-06
194,0.0908266,1.70755e-06
195,0.532751,1.70755e-06
196,0.345911,0
197,0.190567,0
198,0.015924,1.70755e-06
199,0.279176,0
200,0.149774,0
201,0.0154272,0
202,0.220105,0
203,0.338494,0
204,0.317394,0
205,0.313947,0
206,0.211962,0
207,0.115178,0
208,0.187595,0
209,0.0376538,1.70755e-06
210,0.170971,0
211,0.0610726,0
212,0.0218037,1.70755e-06
213,0.348263,0
214,0.0585008,0
215,0.158996,0
216,1.02712,1.70755e-06
217,0.795968,1.70755e-06
218,1.04232,1.70755e-06
219,0.0744075,0
220,0.148904,0
221,1.61352,0
222,0,0
223,1.28567,0
224,0.192034,0
225,0.759966,1.70755e-06
226,0.774384,1.70755e-06
227,0.375223,2.41484e-06
228,0.0468082,0
229,0.832153,0
230,1.50214,0
231,0.88094,1.70755e-06
232,0,2.41484e-06
233,1.49631,0
234,0.551701,1.70755e-06
235,0.0416432,1.70755e-06
236,0.0588241,0
237,1.07361,0
238,0,1.70755e-06
239,1.07719,0
240,0.563098,0
241,0,0
242,1.26917,0
243,0.849971,0
244,0.484217,1.70755e-06
245,0.213432,0
246,0.194605,0
247,0.220626,0
248,0.173771,0
249,0.165143,0
250,0.364619,1.70755e-06
251,0.399315,1.70755e-06
252,0.424304,0
253,0,0
254,0.641964,0
255,0.0210101,0
256,0.0256562,0
257,0.335257,0
258,0.323077,0
259,0.00721409,1.70755e-06
260,0.353214,0
261,0.727082,1.70755e-06
262,0.495728,0
263,0.476056,0
264,0.594936,0
265,0.756207,2.41484e-06
266,0.369106,0
267,0.596395,0
268,0.37643,1.70755e-06
269,0.469854,0
270,0.389176,1.70755e-06
271,0.167794,0
272,0.256411,1.70755e-06
273,0.098076,0
274,0.113463,0
275,0.134753,0
