frame,trans_error,rot_error_deg
0,nan,nan
1,1.45351,14.0796
2,0.332529,1.87995
3,0.242273,0.246493
4,0.298163,0.222626
5,0.167786,0.1883
6,0.365924,0.299735
7,0.787032,0.835479
8,0.771858,79.3388
9,0,45.4004
10,1.40398,8.46137
11,0.212055,0.254803
12,0.972025,1.57203
13,0.162722,0.146496
14,0,4.44036
15,0.585664,1.55655
16,0.162533,0.111596
17,0.732261,0.543117
18,0.269514,0.412712
19,0.75821,0.68733
20,0.213447,0.253906
21,1.06671,43.0804
22,0.0423262,0.0732133
23,1.33149,7.23342
24,0.327466,0.356473
25,1.18295,1.36948
26,1.17112,2.59105
27,0.403967,0.354455
28,0.0159019,0.0026286
29,0.765476,232.297
30,1.26252,5.98651
31,0.348845,0.534971
32,1.08221,1.77174
33,0.905,2.20155
34,1.2338,1.13023
35,1.03192,2.53575
36,0.954087,1.95421
37,0.15943,0.284825
38,1.0429,3.56516
39,0.393996,0.60578
40,1.05466,1.30863
41,1.40114,4.61891
42,0.594338,1.52205
43,1.13959,18.3207
44,0.579886,180.758
45,0.90987,58.8105
46,0,0.795474
47,0.685216,110.882
48,1.13344,2.24234
49,0.260669,0.161518
50,0,88.7596
51,1.34722,1.73461
52,0.54657,183.059
53,1.16883,6.32268
54,1.3722,6.11624
55,0.473098,0.261933
56,0.106299,0.237054
57,0.164179,0.197319
58,0.546487,0.760778
59,0.725835,0.776917
60,0,0.811699
61,1.23769,4.17476
62,0.472846,1.38646
63,1.18407,3.07763
64,0,1.11565
65,1.23627,17.3139
66,0.894762,1.72816
67,0,1.03738
68,1.26297,3.39412
69,0.106731,1.14234
70,1.61772,32.116
71,1.42869,3.08666
72,1.00049,3.07281
73,0.879666,1.53196
74,0.885084,1.36678
75,0.196736,0.712695
76,1.39056,12.0111
77,0.164176,0.0920663
78,0.893076,0.861597
79,1.6076,34.3453
80,1.02437,0.810068
81,0.960103,7.13832
82,0.930469,59.8039
83,0.96082,3.5403
84,0.517685,179.972
85,0.853286,2.12088
86,0.109984,2.27955
87,1.01871,2.54621
88,0.869455,17.6391
89,1.52497,3.45949
90,0,0.639446
91,0.942203,55.3773
92,0.334756,1.62732
93,0.0638881,0.554189
94,1.14246,16.6574
95,1.3838,3.26273
96,0.929721,0.961204
97,0.814031,116.796
98,1.32054,34.1494
99,0.156815,0.721232
100,0,33.4509
101,1.10363,35.8735
102,1.62103,10.2541
103,0.307124,0.46638
104,1.72671,10.0257
105,0.84426,2.40014
106,0.906713,1.97433
107,0.59741,1.08857
108,1.00768,2.27034
109,0.673773,125.813
110,0.182833,0.220904
111,0.145209,0.59199
112,1.10753,8.77396
113,1.42914,25.5389
114,1.07572,79.6716
115,0,2.67705
116,1.35576,7.96225
117,1.17315,2.29898
118,1.20357,18.0282
119,0.119491,201.729
120,1.59974,20.5354
121,0.087291,1.09677
122,1.1602,4.23646
123,1.27693,5.37537
124,1.27908,8.86078
125,1.0727,2.6809
126,0.639431,73.8673
127,1.18682,5.47273
128,0.821732,113.831
129,0.601065,0.912824
130,0.635552,1.01403
131,0.973831,3.46728
132,0.807684,1.23427
133,1.13269,6.67335
134,0.393801,0.481644
135,1.34544,3.64294
136,0.748798,0.789898
137,0.157405,1.46393
138,1.07999,1.34998
139,1.27037,3.32855
140,0.611423,0.706411
141,1.00463,0.551294
142,0.196897,0.614422
143,1.22269,2.85012
144,0.903315,3.54212
145,1.50984,3.47085
146,1.52107,26.8096
147,0.302755,0.479884
148,0.387115,2.16628
149,0.636106,1.98037
150,0.705298,1.40158
151,0.86576,3.71562
152,0,7.15682
153,1.47352,35.2029
154,0.9736,76.7662
155,1.07463,10.4732
156,0.763774,37.9827
157,0.69968,0.840461
158,1.90769,6.97083
159,0,1.38596
160,1.23724,141.162
161,0.936117,0.629031
162,1.53445,2.4894
163,0.748128,4.13675
164,1.14753,51.7207
165,1.4133,35.4208
166,1.50654,7.07574
167,1.83275,10.2666
168,0.774142,12.7664
169,1.34479,8.73181
170,1.59202,3.22787
171,0,61.7856
172,0.379563,2.12483
173,1.40128,16.9547
174,0.486003,58.6892
175,0,4.86345
176,0.184066,17.0376
177,1.42167,0.680939
178,1.41692,90.3891
179,0.146336,1.08626
180,1.14067,12.013
181,1.92054,82.343
182,1.50415,2.27736
183,0.0425527,1.35356
184,0,1.35896
185,0.0458628,1.00702
186,1.07966,7.28331
187,0.156308,0.867821
188,0.52369,0.505609
189,0.66902,1.00246
190,0.600657,0.301719
191,1.82368,164.151
192,1.27628,2.84016
193,1.8261,72.805
194,1.94786,124.604
195,1.51381,5.75952
196,0.879533,1.40792
197,1.00319,1.08309
198,1.64912,116.655
199,0.174598,0.77516
200,1.84464,12.0432
201,0,1.38265
202,0.287343,0.520291
203,0.366867,22.4748
204,0.676968,1.40481
205,0.722926,3.45313
206,1.9982,1.32039
207,0.528639,1.005
208,0,1.88345
209,1.76292,7.11934
210,0.673633,0.664387
211,1.58631,68.6821
212,1.65844,0.48525
213,1.1556,27.2282
214,0.459396,7.69524
215,1.17372,18.5346
216,1.63329,1.68784
217,0.790235,27.2996
218,1.63464,29.7955
219,0.174815,0.127444
220,0.700462,4.04803
221,0.850037,3.8611
222,0.857863,11.5516
223,0.504956,146.057
224,0.789982,54.5602
225,0,8.05699
226,0.305444,0.567375
227,0.254139,0.499407
228,1.27217,2.89921
229,0.265289,0.136576
230,0,14.5171
231,1.68858,44.853
232,1.30592,1.80508
233,0.283888,0.802176
234,1.45592,2.83397
235,0.701229,0.240271
236,0.980886,99.0491
237,0.140935,0.669323
238,0.350595,0.911216
239,1.15402,2.82439
240,0.621073,0.573079
241,0.14535,0.721584
242,1.11335,0.700259
243,1.41306,7.41532
244,1.37338,3.40373
245,0.508957,0.353236
246,1.45228,6.65333
247,1.08164,42.5908
248,0.240521,0.198372
249,1.21933,2.169
250,0.276454,208.453
251,1.43345,18.9217
252,0.354926,206.621
253,1.48892,5.26313
254,0.712023,103.583
255,1.18315,1.03716
256,1.20413,3.57651
257,0.370309,0.478563
258,0.889498,1.38619
259,1.40799,5.2589
260,1.44509,4.34417
261,0.0861097,0.313042
262,0.0606366,0.151745
263,0.697204,1.86919
264,1.82807,13.1809
265,0,14.773
266,0.528678,2.1035
267,0.716792,19.8951
268,1.75938,13.1381
269,0.87285,64.9769
270,0.321791,2.84904
271,0.29725,0.433604
272,1.39845,2.40721
273,0,13.1562
274,0.421064,2.43022
275,0,47.5683
276,1.10988,17.9711
277,0.785076,59.2702
278,0.634238,79.2574
279,1.46832,29.4546
280,0,2.73211
281,0.84405,90.1797
282,0.351009,1.36285
283,1.45728,3.74083
284,0.398183,1.1963
285,1.60802,44.9156
286,0.815581,2.60218
287,1.58472,37.8696
288,1.44399,4.65468
289,1.79865,2.54227
290,0.907046,3.36083
291,1.22331,7.68709
292,1.12437,1.34623
293,0.0379607,0.245516
294,1.59508,2.13683
295,1.54777,8.46315
296,0.0516065,0.200664
297,1.53133,6.26037
298,0.343936,102.869
299,0.194059,137.348
300,0.258145,151.259
301,1.49124,3.19259
302,1.21796,2.33117
303,0.363675,102.618
304,0.789373,3.12713
305,1.48344,5.54879
306,0,21.1687
307,1.16281,185.102
308,1.26857,45.0309
309,1.61174,19.7023
310,0.170497,0.318876
311,1.7302,1.22639
312,0.379795,0.511688
313,1.13006,71.1582
314,0.319922,1.44536
315,0.878212,151.404
316,0.171404,0.504097
317,0.109774,0.116779
318,0.882028,220.673
319,1.34024,0.817949
320,0.357254,34.7418
321,1.51082,5.47461
322,0,66.6132
323,0.492063,27.7112
324,0.509804,28.5994
325,0,1.01519
326,0.255699,43.4543
327,1.28244,22.1313
328,1.39744,2.96416
329,1.53355,3.56689
330,0.252323,1.17037
331,0.133021,65.3991
332,1.91487,16.7478
333,0.0509343,0.535807
334,1.93118,3.49898
335,1.62529,9.64765
336,0.488752,65.7033
337,1.23825,6.67398
338,1.06586,236.252
339,0.374762,0.766056
340,0.451856,1.24476
341,0.386335,207.203
342,1.85988,18.5582
343,0.311367,0.456149
344,0.458903,0.865267
345,0.700632,2.76185
346,0.32258,0.694562
347,1.45177,2.62255
348,1.66082,12.0978
349,0.367423,0.623327
350,0,4.85894
