frame,trans_error,rot_error_deg
0,nan,nan
1,0.76673,0.716324
2,0.315519,0.244117
3,0.717249,0.895881
4,0.185457,0.193598
5,0.352436,0.292773
6,0.49079,0.466913
7,0.90003,1.17894
8,0.0570315,0.050898
9,0.232146,0.217876
10,0.153404,0.146446
11,0.0516707,0.0342622
12,0,0.335506
13,0.213692,0.168151
14,0.293314,0.493445
15,0.146727,0.181281
16,0.330163,0.387771
17,0.49911,0.808773
18,0.992339,2.01233
19,0.0844875,0.0627556
20,0.951494,1.52282
21,0,0.951577
22,0.266534,0.308415
23,0,0.49024
24,0.637966,0.963057
25,0,1.32343
26,0.248973,0.220175
27,0.817101,1.78602
28,0.364671,0.548164
29,0.897495,1.66866
30,0.885939,1.78768
31,0.209077,0.231412
32,0.899501,1.87747
33,0.0529365,0.10553
34,0.196739,0.400525
35,0.270019,0.373668
36,0.66843,0.982481
37,0.308694,0.261124
38,0,0.112014
39,0.0289454,0.0532934
40,0.0780485,0.121438
41,0.276824,0.403753
42,0.532876,0.694745
43,0.618474,0.746139
44,0,0.174656
45,0.645176,0.877588
46,0.225364,0.255641
47,1.12652,1.30215
48,0.245604,0.929509
49,0.300346,0.707618
50,0.945167,2.42496
51,0.199452,0.174112
52,0.913998,1.55907
53,0.41659,0.733787
54,0.501531,1.1136
55,0.208238,1.74643
56,0.431892,1.36745
57,0.488106,0.813009
58,0.197974,0.47339
59,0.17744,0.381498
60,0.360678,0.602556
61,0.163895,0.404795
62,0.0232356,0.45294
63,0.221632,1.17428
64,0.0760183,1.8614
65,0.241239,0.746433
66,0.0490832,1.17965
67,0.165912,1.29652
68,0.0593253,0.780373
69,0.178294,0.527708
70,0.106175,0.692191
71,0.224235,1.06313
72,0.234053,1.24266
73,0.0740462,0.873547
74,0.297494,0.480585
75,0.162856,0.281244
76,0.198721,0.478263
77,0.327598,1.44436
78,0.43885,0.37355
79,0.100672,1.29659
80,0.548647,0.203467
81,0.603496,1.69798
82,0.119543,0.961881
83,0.579798,1.05588
84,0.554953,1.71371
85,0.55893,0.645029
86,0.276597,0.33913
87,0.114764,0.68611
88,1.36973,5.22351
89,0.577338,0.536233
90,0.580116,0.851815
91,1.17305,2.44541
92,1.27537,1.65855
93,0.922963,3.91019
94,1.25687,4.60074
95,0.537007,0.738346
96,0.314135,0.408556
97,1.23114,1.4343
98,0.0137769,0.104611
99,0.130607,0.269693
100,0.857789,1.4941
101,0.0117815,0.280345
102,0.314263,0.428886
103,0.279207,0.402982
104,0.324398,0.316817
105,0.044786,0.0786645
106,0.110207,1.04115
107,0.172484,0.673156
108,1.35233,2.3767
109,0.876349,1.59009
110,0.970855,0.991419
111,0.369309,0.0774575
112,0.379213,0.352957
113,0.690923,0.362511
114,0.613058,0.909058
115,0.255091,0.275339
116,0.635678,1.55589
117,0.0117734,1.18894
118,0.762385,1.47922
119,0.0629642,0.27079
120,0.0645125,0.536783
121,0.622062,1.06147
122,1.36113,1.4719
123,0.198509,0.114411
124,0.18118,0.260337
